full_text;manual_label;text_label
@SuzanSupertramp menyediakan dana di rekening BSI sesuai jumlah yang akan ditukarkan dan membawa kartu ATMnya ya Kak. Kakak juga dapat mengunjungi titik penukaran uang yang diselenggarakan oleh Bank Indonesia dengan mengakses situs https://t.co/oFzlSFhcBu;4;netral
@RefublikAteis agama mah ngatur emang tugasnya intinya seperti yg lo bilang jangan munafik.! lo bedain aturan agama sama prilaku munafik aja gak bisa terus belaga atheis. kalo mau jadi atheis itu baiknya pinter paling tidak gak bodoh plus atheis.. padahal;7;marah
@tanyakanrl sesimple gini nder dr pada buang2 anggaran yang bisa jadi lahan subur buat koruptor kenapa gak makin kembangin sekolah negeri aja ? faslitas di full in gaji guru di naikin. biar gada lagi tuh agenda2 wali murid suruh bayar uang gedung dan kawa;6;sedih
Thread üßµ Pendidikan ‚Äî Sarana Dan Prasarana: Gw yakin sarana dan prasarana solusi strategis buat pendidikan sih. #Pendidikan #IndonesiaGelap #Indonesia #Opinion #Siswa;1;senang
Benang 🧵 Sumber Daya Manusia di Pendidikan: Alhamdulillah sumber daya manusia di pendidikan makin seneng bgt! (terkait akses pendidikan) #AdadiKompas #lowongankerja #Discussion #Opinion #Education;7;marah
Viral...istri tsk korupsi dana BOS se-Kab. Batubara menyebut bhw pemotongan dana BOS dari sekolah2 bukan untuk kepentingan pribadi melainkan sbg bentuk THR yg diminta oleh aparat penegak hukum. Apabila tidak diberikan akan sering dikunjungi &amp;6;sedih
Kabar Pendidikan: Digitalisasi Dan Teknologi ¬ó Miris digitalisasi dan teknologi di pendidikan lucu ??;6;sedih
Bro pemimpin bukan hanya melaksanakan kebijakan tapi mengerahkan seluruh daya untuk memenuhi harapan masyarakat: hidup adil pekerjaan memadai pendidikan berkualitas setara dan masa yang akan datang yang terlindungi. Tak Ada Kata Lelah https://t.co/pSJ5iqY4Pm;7;marah
Pendapatku soal Sumber Daya Manusia di Pendidikan: OMG! sumber daya manusia di pendidikan indonesia banget! #lowongankerja #AdadiKompas #Indonesia #Discussion #Education;2;percaya
Dalam pertemuan di Jeddah kedua negara sepakat memperkuat kemitraan di sektor energi infrastruktur investasi dan pendidikan melalui nota kesepahaman baru. Kesepakatan ini mencakup rencana pembiayaan proyek infrastruktur dan percepatan pertukaran teknis antar kementerian dan BUMN https://t.co/VQscBmapoG;4;netral
@aniesbaswedan saya guru yang mengajar dari kindergarten sampai kelas 12 di sekolah dengan kurikulum IB. dengan padatnya jadwal yang ada saya menggunakan AI untuk membantu menyusun materi ajar tentu dengan penyesuaian dari saya sendiri.;1;senang
Thread ?? Pendidikan ¬ó Pemerataan Dan Inklusivitas: @bigalphaid nambahin anggaran! pemerataan dan inklusivitas di pendidikan rawan untuk nih.;5;takut
Info Pendidikan: Digitalisasi Dan Teknologi √¢¬Ä¬î Setuju digitalisasi dan teknologi solusi strategis buat pendidikan banget. #Discussion #Update #Guru;2;percaya
Update Pendidikan: Tata Kelola Dan Koordinasi — Speechless! tata kelola dan koordinasi buat pendidikan rgantas banget! (terkait akses pendidikan) #EfisiensiUntukBangsa #EfisiensiAnggaran #Discussion #Update #Guru;2;percaya
Kabar Pendidikan: Sarana Dan Prasarana ‚Äî Speechless! sarana dan prasarana buat pendidikan profil parah! #UangKita #MPLSRamah #Update #Opinion #Education;2;percaya
IMO Pendidikan/Tata Kelola Dan Koordinasi: Setuju, tata kelola dan koordinasi solusi strategis buat pendidikan banget. (terkait akses pendidikan) #pendidikan #PrabowoSubianto #Opinion #Discussion #Siswa;1;senang
Makanya adik adik sekolah yang baik belajar sungguh sungguh sehingga punya keahlian dan keterampilan dan bisa menghasilkan uang dari pengetahuan dan keterampilan. Hidup tanpa skill cuma mentok jadi tukang palak yang menganggap Akamsi sebuah privilege di era AI ini.;6;sedih
Setuju nggak kalau Sarana Dan Prasarana bikin Pendidikan makin efisien? Speechless! sarana dan prasarana buat pendidikan pendidikan parah! #Pendidikan #SekolahRakyat #Discussion #Update #Guru;3;terkejut
Info Pendidikan: Pemerataan Dan Inklusivitas ¬ó Miris lihat pemerataan dan inklusivitas di pendidikan makin perlakuan banget. #BRIFokusUMKM #KonsistensiBRI #Indonesia #Update #Education;6;sedih
Pendidik hrs bersertifikasi jangan asal mentalnya bkn mental guru. Bnyk yg jd mental pedagang. Mutasi guru kayak gini. Heran gimana sih cara P&amp;4;netral
Update Pendidikan: Digitalisasi Dan Teknologi √¢¬Ä¬î Speechless! digitalisasi dan teknologi buat pendidikan wow parah! #jasacoding #Opinion #Indonesia #Siswa;3;terkejut
Menurut saya, Sumber Daya Manusia di Pendidikan itu HAHA 😂! sumber daya manusia di pendidikan marah anjir! #carikerja #IndonesiaEmas #Opinion #Indonesia #Guru;6;sedih
@senyumsenja21 Hai Kak. Apakah yang Kakak maksud pembayarannya dilakukan oleh Pemungut Pajak? Jika iya berdasarkan PMK Nomor 81 Tahun 2024 Pasal 219 Ayat (1) huruf e atas pembayaran untuk pembelian barang sehubungan dengan penggunaan dana bantuan operasio;3;terkejut
Menurut saya, Sumber Daya Manusia di Pendidikan itu Waduh! sumber daya manusia di pendidikan rawan sekian banget. #loker #AdadiKompas #Update #Discussion #Siswa;4;netral
@kkpunasional Warga bantu warga aslinya masih banyak. Tim ai jg seringkali dpt diskon belanja logistik bantuan bencana di pasar asemka (utk alat tulis &amp;1;senang
Update Pendidikan: Digitalisasi Dan Teknologi ¬ó Sedih bgt ?? lihat digitalisasi dan teknologi di pendidikan makin lucu banget.;6;sedih
Pendapatku soal Digitalisasi Dan Teknologi di Pendidikan: Gw yakin digitalisasi dan teknologi bakalan bikin pendidikan percaya banget #AI #Update #Discussion #Pendidikan;2;percaya
Menurut saya Pemerataan Dan Inklusivitas di Pendidikan itu Alhamdulillah pemerataan dan inklusivitas di pendidikan makin seneng bgt! #KonsistensiBRI #BRInvestasiHijau #Discussion #Indonesia #Pendidikan;1;senang
Setiap Siswa Sekolah Rakyat Dapat Anggaran Rp48 Juta/Tahun Kemensos menyebut jumlah anggaran untuk satu siswa Sekolah Rakyat Rp48 juta per tahun yang digunakan untuk mencukupi berbagai kebutuhan guna mendukung pembelajaran. https://t.co/f2zkkYdJd3 https://t.co/LUc6jfAv2r;3;terkejut
Menurut saya, Tata Kelola Dan Koordinasi di Pendidikan itu Speechless! tata kelola dan koordinasi buat pendidikan pendidikan parah! #IndonesiaGelap2025 #pendidikan #Opinion #Indonesia #Pendidikan;2;percaya
Kabar Pendidikan: Sumber Daya Manusia — @arsipaja knp sih, sumber daya manusia di pendidikan smakguru 😭 #loker #PIP #Opinion #Indonesia #Guru;5;takut
Kejagung mencegah mantan Menteri Pendidikan Kebudayaan Riset dan Teknologi Nadiem bepergian ke luar negeri. Ia dicegah sampai 6 bulan ke depan. Tapi asistennya sudah berada diluar negeri pak..? https://t.co/kAnPWVU1Pt;4;netral
Kabar Pendidikan: Digitalisasi Dan Teknologi √¢¬Ä¬î Waduh! digitalisasi dan teknologi di pendidikan rawan risiko nih.;5;takut
Kabar Pendidikan: Pemerataan Dan Inklusivitas ¬ó Sedih bgt ?? lihat pemerataan dan inklusivitas di pendidikan makin perlakuan banget. #pendidikan #SobATRBPN #Update #Opinion #Education;6;sedih
Presiden Prabowo dijadwalkan mengunjungi Kabupaten Purbalingga dalam peringatan Hardiknas pada 2 Mei mendatang. Presiden akan meluncurkan tiga progam unggulan di bidang pendidikan : 1 revitalisasi satuan pendidikan 2 digitalisasi pendidikan 3 tunjangan transportasi guru honorer;3;terkejut
IMO Pendidikan/Tata Kelola Dan Koordinasi: Speechless! tata kelola dan koordinasi buat pendidikan wow parah! #AdadiKompas #Nusantara #Update #Opinion #Education;2;percaya
@nangkeq @txtdrimedia Kalo emng niat nyelesain masalah gaji guru harusnya udah dari dulu. Tapi nyatanya emng gak ada niatan keknya maau diganti menteri berapa kalipun sama aja. Apalagi pendidikan formal di Indonesia yg tdk satu pintu. Ada kemendikbud dan ;4;netral
@danawallet gk kebayang hematnya pake dana qris qris dan memang juara;1;senang
Benang 🧵 Sumber Daya Manusia di Pendidikan: HAHA 😂! sumber daya manusia di pendidikan bupati anjir! #lowongankerja #SahabatBispar #Discussion #Update #Education;6;sedih
Dunia pendidikan sedang tidak baik-baik saja. Bukan karena kurangnya teknologi tapi karena hilangnya makna didik. Ketika pendidikan berubah jadi konten hiburan dan guru lebih sibuk berjoget daripada membimbing... apa yang sedang kita ajarkan pada generasi berikutnya? https://t.co/YOLSF4riWh;5;takut
@ArgentianaA Belom sekolah libur masih masuk anggaran diganti snack.. Sejak mul pemerintah udah ga malu &amp;6;sedih
Update Pendidikan: Sarana Dan Prasarana ‚Äî Speechless! sarana dan prasarana buat pendidikan keren parah! #Pendidikan #MPLSRamah #Discussion #Update #Siswa;3;terkejut
Antares Eazy dari PT Telkom Indonesia (Persero) Tbk (TLKM) menghadirkan Solusi IP camera berbasis AI. https://t.co/YPYEQ9hmoH;1;senang
Utas 🧵 Pendidikan/Sumber Daya Manusia: @thatsbabayagaa @rakyat_sekitar pendapat lihat sumber daya manusia di pendidikan makin sedih 😭. (terkait kompetensi guru) #loker #Humaniora #Opinion #Discussion #Siswa;5;takut
Kabar Pendidikan: Pemerataan Dan Inklusivitas ¬ó Speechless! pemerataan dan inklusivitas buat pendidikan lagi parah! #KomitmenBRI #qrisbri #Update #Opinion #Guru;3;terkejut
Update Pendidikan: Tata Kelola Dan Koordinasi — Setuju, tata kelola dan koordinasi solusi strategis buat pendidikan banget. #Nusantara #EfisiensiAnggaran #Indonesia #Opinion #Guru;1;senang
bagus dana pajak bisa buat kesehatan &amp;1;senang
Pendapatku soal Pemerataan Dan Inklusivitas di Pendidikan: Waduh! pemerataan dan inklusivitas di pendidikan rawan mahasiswa banget.;5;takut
@drh_sigit @kompascom Ya tanpa korupsi tingkat SDM Indonesia kemungkinan besar lebih baik. Korupsi mengalihkan dana publik dari pendidikan kesehatan dan infrastruktur faktor kunci pengembangan manusia. Studi VECM (1996-2021) menunjukkan korupsi menekan in;5;takut
Menurut saya, Tata Kelola Dan Koordinasi di Pendidikan itu Miris lihat tata kelola dan koordinasi di pendidikan makin prihatin banget. #KawanPajak #EfisiensiUntukBangsa #Indonesia #Discussion #Siswa;5;takut
@ARSIPAJA yang saya tau si ini 50 itu maksimal jadi boleh dibawah itu disesuaikan dengan fasilitas dan sdm sekolah cmn gatau jg ga pernah baca atau denger lagi;3;terkejut
Info Pendidikan: Sumber Daya Manusia — Gw yakin, sumber daya manusia solusi strategis buat pendidikan banget. #Humaniora #IndonesiaMaju #Opinion #Indonesia #Education;1;senang
Melalui alokasi anggaran yang lebih besar dan program-program strategis nasional pemerintah berkomitmen membangun fasilitas dasar seperti jalan jembatan rumah sakit dan sekolah di wilayah DOB. https://t.co/bWzUN4rDai;4;netral
Program Pemerintah Makan Bergizi Gratis bertujuan mengatasi stunting dan meningkatkan kualitas gizi anak Indonesia Ã°Å¸â¡Â®Ã°Å¸â¡Â©. Sebagai generasi penerus anak Indonesia jadi lebih baik kuat dan pintar Karena adanya program MBG #SatuPiringJutaanHarapan --- #TrumpTariffs CNN Elon Musk https://t.co/lzQOsJlAft;4;netral
Jalan yang baik membawa anak-anak Papua ke sekolah dan membuka ekonomi rakyat. #westpapua https://t.co/duvRkll0VY;7;marah
Info Pendidikan: Tata Kelola Dan Koordinasi — habib menegaskan bahwa lihat tata kelola dan koordinasi di pendidikan makin pemerintah 😭. #Nusantara #LangkahTepatEkonomiKuat #Opinion #Discussion #Guru;5;takut
@ipb_menfess Nama programnya aja Kartu Indonesia Pintar Kuliah bjir kenapa yang dapet ga pinter begini. Lagian kok bisa dapet E sebanyak itu ga kuliah lu ya? Lagian masih semester 3 ambil lagi aja tuh matkul E di semester 5 sama 7. Kalau lu beneran niat p;7;marah
Utas ?? Pendidikan/Pemerataan Dan Inklusivitas: Speechless! pemerataan dan inklusivitas buat pendidikan cari banget! #pendidikan #ESGBRI #Indonesia #Opinion #Siswa;3;terkejut
Pendapatku soal Pemerataan Dan Inklusivitas di Pendidikan: sekolah tersebut terus lihat pemerataan dan inklusivitas di pendidikan makin prihatin banget. #BRIFokusUMKM #DIGESER_UNTUK_RAKYAT #Update #Indonesia #Guru;6;sedih
Update Pendidikan: Tata Kelola Dan Koordinasi — Speechless! tata kelola dan koordinasi buat pendidikan amazing banget! #IndonesiaGelap #Nusantara #Indonesia #Discussion #Pendidikan;2;percaya
Bagaimana menurut kalian soal Pemerataan Dan Inklusivitas di Pendidikan? Aduh! pemerataan dan inklusivitas di pendidikan rawan risiko banget. (terkait kualitas pembelajaran);5;takut
@Reychan_A Untuk memperbaiki sistem pendidikan Indonesia perlu langkah konkret: tingkatkan kualitas guru lewat pelatihan dan insentif tambah anggaran dengan alokasi transparan atasi disparitas akses di desa dengan infrastruktur dan e-learning perbarui kur;4;netral
good job Kapolri! Pendidikan emang harus jadi prioritas https://t.co/UFOR1rT9cI;7;marah
